mother,father,distance,prob,offspring
J1246,M0025,12.173,1.0006333122229258,3.0018999366687775
J1246,M0147,323.642,1.0006333122229258,6.003799873337555
J1246,NA,NA,1.0006333122229258,6.003799873337555
K0451,K1762,1.582,1.0006333122229258,1.0006333122229258
K0451,L0143,2.913,1.0006333122229258,5.00316656111463
K0451,L0221,2.234,1.0006333122229258,1.0006333122229258
K0451,L0653,0.923,1.0006333122229258,6.003799873337555
K0451,L0662,0.571,1.0006333122229258,3.0018999366687775
K0451,NA,NA,1.0006333122229258,2.0012666244458517
K0632,M1756,99.833,0.9845332488917036,0.984495883470551
K0632,NA,NA,1.0006333122229258,2.0174040531982267
K0635,M0042,71.11,0.9996326789107031,0.9996326789107031
K0635,NA,NA,1.0006333122229258,19.013033565547815
K1768,M0025,17.199,1.0006333122229258,15.009499683343888
K1768,M0037,79.215,1.0006333122229258,3.0018999366687775
K1768,NA,NA,1.0006333122229258,5.00316656111463
K1809,L0662,89.695,1.0006333122229258,1.0006333122229258
K1809,NA,NA,1.0006333122229258,13.008233058898037
K2036,M0259,113.709,0,0
K2036,NA,NA,1.0006333122229258,18.011399620012668
L0057,K1738,108.733,1.0006333122229258,2.0012666244458517
L0057,M0052,27.603,1.0006333122229258,1.0006333122229258
L0057,M0057,10.227,1.0006333122229258,1.0006333122229258
L0057,NA,NA,1.0006333122229258,9.005699810006334
L0221,K1762,2.205,1.0006333122229258,2.0012666244458517
L0221,K2036,29.659,1.0006333122229258,2.0012666244458517
L0221,L0143,5.125,1.0006333122229258,5.00316656111463
L0221,L0653,3.066,1.0006333122229258,5.00316656111463
L0221,M1784,10.189,1.0006333122229258,1.0006333122229258
L0221,NA,NA,1.0006333122229258,3.0018999366687775
L0911,M0750,777.767,0.009746041798606712,0.009738442051931603
L0911,NA,NA,1.0006333122229258,8.9959613679544
L0935,M0551,1952.151,2.0899303356554782e-5,2.0899303356554782e-5
L0935,NA,NA,1.0006333122229258,19.012012032932237
L1264,M0336,9.05,1.0006333122229258,1.0006333122229258
L1264,M1016,26.984,1.0006333122229258,3.0018999366687775
L1264,NA,NA,1.0006333122229258,7.004433185560481
L1847,M0005,94.391,1.0006333122229258,1.0006333122229258
L1847,M0127,38.559,1.0006333122229258,2.0012666244458517
L1847,M0267,39.22,1.0006333122229258,3.0018999366687775
L1847,M0807,14.441,1.0006333122229258,5.00316656111463
L1847,NA,NA,1.0006333122229258,13.008233058898037
L1872,L0124,77.813,1.0006333122229258,2.0012666244458517
L1872,M0107,30.173,1.0006333122229258,1.0006333122229258
L1872,M0125,56.171,1.0006333122229258,2.0012666244458517
L1872,M0819,26.72,1.0006333122229258,8.005066497783407
L1872,M0854,64.477,1.0006333122229258,1.0006333122229258
L1872,NA,NA,1.0006333122229258,9.005699810006334
L1882,K0032,29.095,1.0006333122229258,2.0012666244458517
L1882,M0190,1941.99,0.007765041165294489,0.007765041165294489
L1882,M0252,17.411,1.0006333122229258,1.0006333122229258
L1882,M0292,5.74,1.0006333122229258,4.002533248891703
L1882,M0295,50.993,1.0006333122229258,2.0012666244458517
L1882,M1927,38.607,1.0006333122229258,1.0006333122229258
L1882,M1949,37.299,1.0006333122229258,1.0006333122229258
L1882,NA,NA,1.0006333122229258,3.9947682077264095
L1892,NA,NA,1.0006333122229258,3.0018999366687775
M0002,NA,NA,1.0006333122229258,2.0012666244458517
M0009,K0148,250.091,1.0006333122229258,1.0006333122229258
M0009,K2036,28.625,1.0006333122229258,1.0006333122229258
M0009,M0025,103.148,1.0006333122229258,10.00633312222926
M0009,M0127,130.699,1.0006333122229258,1.0006333122229258
M0009,M0147,210.06,1.0006333122229258,2.0012666244458517
M0009,NA,NA,1.0006333122229258,14.008866371120963
M0018,NA,NA,1.0006333122229258,5.00316656111463
M0022,M0886,614.375,0.9751038632045599,0.9751032298923369
M0022,NA,NA,1.0006333122229258,13.033763141228627
M0025,K0148,351.527,1.0006333122229258,1.0006333122229258
M0025,K1156,44.113,1.0006333122229258,1.0006333122229258
M0025,L0112,446.069,0.9734604179860672,0.9734604179860672
M0025,M0043,97.183,1.0006333122229258,1.0006333122229258
M0025,M0147,311.471,1.0006333122229258,2.0012666244458517
M0025,NA,NA,1.0006333122229258,9.032880303989867
M0028,K0148,447.083,1.0006333122229258,2.0012666244458517
M0028,M0037,0.882,1.0006333122229258,10.00633312222926
M0028,M0238,236.124,1.0006333122229258,3.0018999366687775
M0028,NA,NA,1.0006333122229258,1.0006333122229258
M0034,K0632,12.785,1.0006333122229258,4.002533248891703
M0034,M0025,118.406,0.9996402786573781,0.9996390120329323
M0034,M0047,20.262,1.0006333122229258,3.0018999366687775
M0034,M0322,18.271,1.0006333122229258,3.0018999366687775
M0034,NA,NA,1.0006333122229258,16.01112729575681
M0042,L0143,1.752,1.0006333122229258,15.009499683343888
M0042,L0662,1.19,1.0006333122229258,3.0018999366687775
M0042,M0013,95.533,0.9963179227359088,0.9963077897403421
M0042,NA,NA,1.0006333122229258,3.0062254591513615
M0043,M0033,8.847,0,0
M0043,NA,NA,1.0006333122229258,5.00316656111463
M0045,K0632,33.97,1.0006333122229258,8.005066497783407
M0045,M0249,275.887,1.0006333122229258,2.0012666244458517
M0045,NA,NA,1.0006333122229258,5.00316656111463
M0047,M0043,1.367,1.0006333122229258,1.0006333122229258
M0047,M0319,90.242,1.0006333122229258,1.0006333122229258
M0047,M0424,195.25,1.0006333122229258,2.0012666244458517
M0047,NA,NA,1.0006333122229258,10.00633312222926
M0054,L0057,37.517,1.0006333122229258,2.0012666244458517
M0054,L1890,20.698,0.99863204559848,0.99863204559848
M0054,M0083,37.49,1.0006333122229258,1.0006333122229258
M0054,M0084,3.7,1.0006333122229258,1.0006333122229258
M0054,M0090,12.144,1.0006333122229258,2.0012666244458517
M0054,M0684,24.442,1.0006333122229258,1.0006333122229258
M0054,M0700,25.751,1.0006333122229258,2.0012666244458517
M0054,M0883,63.473,1.0006333122229258,1.0006333122229258
M0054,M1464,2.266,1.0006333122229258,1.0006333122229258
M0054,NA,NA,1.0006333122229258,9.00770107663078
M0069,M0054,1.475,1.0006333122229258,1.0006333122229258
M0069,M0093,13.836,1.0006333122229258,1.0006333122229258
M0069,M0097,2.721,1.0006333122229258,2.0012666244458517
M0069,M0681,27.956,1.0006333122229258,2.0012666244458517
M0069,M0684,25.836,1.0006333122229258,1.0006333122229258
M0069,M0727,707.745,1.0006333122229258,1.0006333122229258
M0069,M1482,6.233,1.0006333122229258,1.0006333122229258
M0069,NA,NA,1.0006333122229258,18.011399620012668
M0078,L1882,29.568,0,0
M0078,M1482,5.048,1.0006333122229258,1.0006333122229258
M0078,NA,NA,1.0006333122229258,23.014566181127297
M0130,M1465,6.814,1.0006333122229258,1.0006333122229258
M0130,M1488,5.985,1.0006333122229258,1.0006333122229258
M0130,NA,NA,1.0006333122229258,18.011399620012668
M0137,M0107,17.96,1.0006333122229258,1.0006333122229258
M0137,M0900,11.928,0,0
M0137,NA,NA,1.0006333122229258,1.0006333122229258
M0202,K0148,747.49,1.0006333122229258,2.0012666244458517
M0202,M0043,303.357,1.0006314122862572,1.0006314122862572
M0202,M0238,68.547,0.9974667511082964,11.969601013299556
M0202,NA,NA,1.0006333122229258,5.041167194426852
M0209,K1156,356.219,1.0006333122229258,1.0006333122229258
M0209,L0215,255.959,1.0006333122229258,2.0012666244458517
M0209,M0043,303.068,1.0006333122229258,1.0006333122229258
M0209,M0202,0.39,1.0006333122229258,10.00633312222926
M0209,M0238,68.303,1.0006333122229258,2.0012666244458517
M0209,NA,NA,1.0006333122229258,10.00633312222926
M0210,K1292,63.349,1.0006333122229258,1.0006333122229258
M0210,L0234,53.272,1.0006333122229258,7.004433185560481
M0210,M0208,154.87,1.0006333122229258,1.0006333122229258
M0210,M1325,13.444,1.0006333122229258,1.0006333122229258
M0210,NA,NA,1.0006333122229258,15.009499683343888
M0225,M0227,137.06,1.0006333122229258,2.0012666244458517
M0225,M0230,39.711,1.0006333122229258,1.0006333122229258
M0225,NA,NA,1.0006333122229258,8.005066497783407
M0238,L0215,188.639,1.0006333122229258,1.0006333122229258
M0238,M0025,333.085,1.0006333122229258,6.003799873337555
M0238,M0043,235.904,1.0006333122229258,1.0006333122229258
M0238,M0243,41.277,1.0006333122229258,1.0006333122229258
M0238,NA,NA,1.0006333122229258,4.002533248891703
M0251,L1847,14.686,1.0006333122229258,7.004433185560481
M0251,M0099,2.872,1.0006333122229258,1.0006333122229258
M0251,NA,NA,1.0006333122229258,10.00633312222926
M0254,M0258,55.533,1.0006333122229258,1.0006333122229258
M0254,M0675,10.026,1.0006333122229258,1.0006333122229258
M0254,M0682,37.717,1.0006333122229258,8.005066497783407
M0254,M0700,41.145,1.0006333122229258,2.0012666244458517
M0254,M1871,10.297,1.0006333122229258,1.0006333122229258
M0254,M1934,0.226,1.0006333122229258,1.0006333122229258
M0254,NA,NA,1.0006333122229258,9.005699810006334
M0258,M0053,2.331,1.0006333122229258,1.0006333122229258
M0258,M0096,3.269,1.0006333122229258,8.005066497783407
M0258,M0260,0.598,1.0006333122229258,3.0018999366687775
M0258,M0270,1.432,1.0006333122229258,1.0006333122229258
M0258,NA,NA,1.0006333122229258,7.004433185560481
M0259,NA,NA,1.0006333122229258,11.006966434452185
M0267,K0032,3.254,1.0006333122229258,1.0006333122229258
M0267,M0290,17.884,1.0006333122229258,2.0012666244458517
M0267,M1934,7.162,1.0006333122229258,1.0006333122229258
M0267,M1949,6.424,1.0006333122229258,2.0012666244458517
M0267,NA,NA,1.0006333122229258,16.010132995566813
M0283,L0124,2.94,1.0006333122229258,1.0006333122229258
M0283,L1890,1.587,1.0006333122229258,4.002533248891703
M0283,M0053,9.465,1.0006333122229258,3.0018999366687775
M0283,M0089,12.023,1.0006333122229258,1.0006333122229258
M0283,NA,NA,1.0006333122229258,12.00759974667511
M0310,M0344,53.791,1.0006333122229258,1.0006333122229258
M0310,NA,NA,1.0006333122229258,8.005066497783407
M0323,L0137,54.473,1.0006333122229258,1.0006333122229258
M0323,M0002,133.672,1.0006333122229258,7.004433185560481
M0323,M0038,115.97,0.9534110196326788,0.9533508549715008
M0323,M1287,858.761,0.9804388853704877,0.9804369854338189
M0323,NA,NA,1.0006333122229258,6.071278024065865
M0329,L1361,395.325,0,0
M0329,M1781,9.918,1.0006333122229258,9.005699810006334
M0329,NA,NA,1.0006333122229258,9.005699810006334
M0333,M0322,4.955,1.0006333122229258,7.004433185560481
M0333,NA,NA,1.0006333122229258,6.003799873337555
M0344,L0653,244.031,1.0006333122229258,5.00316656111463
M0344,L0662,244.456,1.0006333122229258,1.0006333122229258
M0344,M0319,13.508,1.0006333122229258,2.0012666244458517
M0344,NA,NA,1.0006333122229258,5.00316656111463
M0345,M0554,1176.915,0.3027378087397087,0.30273717542748574
M0345,NA,NA,1.0006333122229258,14.706762507916402
M0484,M0494,136.295,1.0006333122229258,4.002533248891703
M0484,NA,NA,1.0006333122229258,10.00633312222926
M0494,L1847,215.513,1.0006333122229258,2.0012666244458517
M0494,M0109,140.332,1.0006333122229258,5.00316656111463
M0494,M0886,216.345,1.0006333122229258,3.0018999366687775
M0494,NA,NA,1.0006333122229258,5.00316656111463
M0773,M0319,262.306,1.0006333122229258,7.004433185560481
M0773,M0408,215.059,1.0006333122229258,1.0006333122229258
M0773,M0421,15.089,1.0006333122229258,3.0018999366687775
M0773,M0551,1728.326,0,0
M0773,NA,NA,1.0006333122229258,10.00633312222926
M0884,L0935,914.028,0.24079290690310323,0.1123641545281824
M0884,L1223,1931.402,3.1665611146295124e-6,1.5136162127929068e-4
M0884,M0287,25.241,1.0006333122229258,2.0012666244458517
M0884,M0681,52.337,0.3982324255858138,0.397889170360988
M0884,M0819,4.904,1.0006333122229258,1.0006333122229258
M0884,M0993,1121.129,0.3307226092463585,0.4490126662444585
M0884,M1483,6.836,0.5631823939202026,0.5630018999366688
M0884,NA,NA,1.0006333122229258,17.479639645345156
M1000,M0964,0.475,1.0006333122229258,2.0012666244458517
M1000,M0997,4.037,1.0006333122229258,2.0012666244458517
M1000,NA,NA,1.0006333122229258,19.01203293223559
M1335,M0988,39.354,1.0006333122229258,1.0006333122229258
M1335,M0999,1.774,0,0
M1335,M1310,1.911,1.0006333122229258,1.0006333122229258
M1335,NA,NA,1.0006333122229258,20.01266624445852
M1454,NA,NA,1.0006333122229258,11.006966434452185
M1460,M0052,5.998,1.0006333122229258,1.0006333122229258
M1460,M1463,0.698,0,0
M1460,M1478,6.856,0.9914084863837872,0.9913654211526283
M1460,NA,NA,1.0006333122229258,11.01623432552248
M1463,L0114,84.697,1.0006333122229258,1.0006333122229258
M1463,M0084,4.827,1.0006333122229258,2.0012666244458517
M1463,M0090,18.636,1.0006333122229258,1.0006333122229258
M1463,M0100,19.955,1.0006333122229258,1.0006333122229258
M1463,M1047,21.87,1.0006333122229258,1.0006333122229258
M1463,M1455,7.608,1.0006333122229258,1.0006333122229258
M1463,NA,NA,1.0006333122229258,13.008233058898037
M1466,NA,NA,1.0006333122229258,9.005699810006334
M1846,M0590,1273.282,0.07915832805573148,0.07915769474350855
M1846,M0730,658.341,0.022894870170994303,0.022894870170994303
M1846,NA,NA,1.0006333122229258,15.908059531348956
